"vis" "X__2" "X__3" "X__4" "X__5" "X__6" "X__7" "X__8" "X__9" "X__10" "X__11" "X__12" "X__13" "X__16" "X__17" "X__18" "X__19" "X__20" "X__21" "X__22" "X__23" "X__24" "X__25" "X__26" "X__27" "X__29" "X__30" "X__31" "X__32" "X__33" "X__34" "X__35" "X__36" "X__37" "X__38" "X__39" "X__40" "X__43" "X__44" "X__45" "X__46" "X__47" "X__48" "X__49" "X__50" "X__51" "X__53" "X__54" "X__55" "X__56" "X__57" "X__58" "X__59" "X__64" "X__65" "X__66" "X__67" "X__68" "X__69" "X__70" "X__71" "X__72" "X__73" "X__74" "X__75" "X__76" "X__78" "X__81" "X__82" "X__83" "X__84" "X__86" "X__87" "X__88" "X__89" "X__90" "X__91" "X__92" "X__93" "X__94" "X__95" "X__96" "X__98" "X__99" "X__100" "X__101" "X__103" "X__104" "X__106" "X__108" "X__109" "X__110" "X__111" "X__112" "X__113" "X__114" "X__115" "X__116" "X__117" "X__118" "X__119" "X__120" "X__121" "X__122" "X__123" "X__124" "X__125" "X__127" "X__128" "X__130" "X__131" "X__132" "X__133" "X__135" "X__136" "X__138"
"2" 4433 0 0 9.42 0 0 0 8.53 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11.73 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 70.32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3" 25 0.39 0 3.58 0 0 0 14.25 0 0 0 0 0 0 0 1.88 0 0.68 0 0 0 0.46 0 0 0 0 0 0 0 0 0 0 0.08 0 0 9.22 0 0 0 0 0.8 0 0 0 0 0 0.08 0 0 0 0 0 1.78 2.29 0 0 0 0 0 0 0 0 0 12.78 0 1.41 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 45.42 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.56 1.34
"4" 21 0 0 3.81 0 0 0 14.08 0 0 0 0 0 0 0 3.3 0 0.67 0 0 0 0 0 0 0 0.09 0 0 0 0 0 0 2.36 0 0 9.28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.66 0 0 0 0 0 0 0 0 0 0 13.31 0 1.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 45.55 0 0 0 0 0 0.08 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.31 1.24
"5" 64 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33.48 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 66.51 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"6" 79 0 0 3 0 0 0 18 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 11 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 56 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2
"7" 5864 0 0 9.43 0 0 0 8.53 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10.54 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 71.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"9" 262 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29.63 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 70.37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"11" 914 0 0 0.22 0 0 0 0 0 0 0 0 0 0 0 0.15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 12.08 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.09 0 0 0 0 0 0 0 0 0 31.49 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 55.91 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0 0 0 0 0 0 0 0 0 0 0 0
"12" 538 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.95 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.45 0 0 0 0 0 0 0 0 0 26.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 59.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"15" 42 0 0 0 0 0 0 21.7 0 0 0 0 0 0 0 6.59 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.01 0 0 0 11.81 0 0.69 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 54.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
