"X__2","X__4","X__5","X__8","X__17","X__18","X__36","X__39","X__48","X__53","X__59","X__64","X__70","X__71","X__74","X__96","X__109","X__113","X__117","autres"
0,9.42,0,8.52,0,0,0,0,0,0,0,0,0,0,13.67,0,68.39,0,0,0
0,9.42,0,8.53,0,0,0,0,0,0,0,0,0,0,11.73,0,70.32,0,0,0
0.39,3.58,0,14.25,0,1.88,0.08,9.22,0,0.08,1.78,2.29,0,0,12.78,0,45.42,0,0,8.64
0,3.33,0,14.84,0,3.51,0,9.91,0,0,2.47,0.04,0,0,13.13,0,46.16,0,0,6.61
0,3.81,0,14.08,0,3.3,2.36,9.28,0,0,1.66,0,0,0,13.31,0,45.55,0,0,6.65000000000001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.48,0,66.51,0,0,0.00999999999999091
0,3,0,18,0,2,0,3,0,0,2,0,0,0,11,0,56,0,0,5
0,9.43,0,8.53,0,0,0,0,0,0,0,0,0,0,10.54,0,71.5,0,0,0
0,0,0,0,0,10.6,0,0,0,0,0,0,0,0,14.4,0,74.85,0,0,0.150000000000006
0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.63,0,70.37,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.54,0,64.46,0,0,0
0,0.22,0,0,0,0.15,0,0.01,0,12.08,0,0,0,0,0.09,0,55.91,0,0,31.54
0,0,0,0,0,2.7,0,0,0,1.95,0,0,0,0,9.45,0,59.75,0,0,26.15
0,3.72,0,0,0,8.69,0,0.4,0,0.5,0,1.35,0,0,15.28,0,68.52,0,0,1.54000000000001
0,22.43,0,3,0,5.9,0,0.12,0,0.2,0,8.41,0,0,1.1,0,58.77,0,0,0.0699999999999932
0,0,0,21.7,0,6.59,0,0,0,0,0,0,5.01,0,11.81,0,54.2,0,0,0.689999999999998
0,0,0,11.52,0,9.79,0,0,0,0,0,0,5.68,0,10.82,0,61.41,0,0,0.780000000000001
0,0,0,18.31,0,0,0,0,0,0,0,0,3.41,0,18.91,0,59.37,0,0,0
0.37,4.05,0,14.56,0,2.58,0.37,4.7,0,0.1,1.82,2.48,0,0,13.52,0,46.42,0,0,9.39999999999999
0,1.7,0,12,0,4.5,0,4.25,0,0,3,0,0,0,11,0,52,0,0,11.55
0,1.7,0,12,0,4.5,0,4.25,0,0,3,0,0,0,11,0,52,0,0,11.55
0,6.3,0,12,0,4.5,0,12.5,0,0,1,2.33,0,0,11,0,43.32,0,0,7.05
0,6.3,0,12,0,4.5,0,12.5,0,0,1,2.33,0,0,11,0,43.32,0,0,7.05
0,6.3,0,17,0,4.5,3,4,0,0,3,2.58,0,0,11,0,43.57,0,0,5.05
0,1.7,0,13.69,0,1.5,3,12.5,0,0,1,0,0,0,16.5,0,43.06,0,0,7.05
0,6.3,0,15.98,0,4.5,0,4,0,0,1,0,0,0,11,0,52.17,0,0,5.05
0,1.7,0,12.2,0,1.5,3,12.5,0,0,1,3,0,0,11,0,44.55,0,0,9.55
0,6.3,0,12,0,1.5,3,4,0,0,3,0,0,0,14.91,0,50.24,0,0,5.05
0,6.3,0,12.13,0,1.5,0,4,0,0,1,3,0,0,15.17,0,47.35,0,0,9.55
0,6.08,0,12,0,1.5,3,4,0,0,3,3,0,0,11.88,0,43.99,0,0,11.55
0,6.08,0,12,0,1.5,3,4,0,0,3,3,0,0,11.88,0,43.99,0,0,11.55
0,0,0,11.48,0,7.44,0,0,0,0,0,0,5.67,0,13.35,0,61.28,0,0,0.780000000000001
0,9.07,0,12.22,0,3.96,0,8,0,0,4,0,2.2,0,15.45,0,40,0,0,5.09999999999999
0,3.5,0,16.5,0,2,0,2,0,0,4,0,0,0,7,0,58.5,0,0,6.5
0,7.55,0,16.5,0,2,0,2.44,0,0,1,0,0,0,16.97,0,40,0,0,13.54
0,3.5,0,8,0,5,0,2,0,0,4,0,1.6,0,7.2,0,58.5,0,0,10.2
0,2,0,8,0,5,0,2,0,0,4,0,0,0,14.4,0,58.5,0,0,6.09999999999999
0,15,0,16.5,0,2,0,2,0,0,4,0,0,0,12,0,44.06,0,0,4.44
0,2,0,8,0,2,0,2,0,0,1,0,0,0,20,0,58.5,0,0,6.5
0,2,0,8,0,2,0,2,0,0,4,0,0,0,20,0,48.9,0,0,13.1
0,2,0,16.5,0,4.65,0,2,0,0,1,0,2.2,0,20,0,48.55,0,0,3.10000000000001
0,2,0,16.5,0,2,0,8,0,0,4,0,1.11,0,12.14,0,45.15,0,0,9.09999999999999
0,2,0,16.5,0,4,0,2,0,0,1,0,0,0,14.9,0,58.5,0,0,1.09999999999999
0,11.75,0,16.5,0,2,0,8,0,0,1,0,0,0,9.4,0,50.25,0,0,1.09999999999999
0,8.61,0,11.23,0,2,0,2,0,0,1,0,0,0,20,0,53.39,0,0,1.77
0,6.3,0,15.98,0,4.5,0,4,0,0,1,0,0,0,11,0,52.17,0,0,5.05
0,6.3,0,17,0,4.5,3,4,0,0,1,0,0,0,11.65,0,41,0,0,11.55
0,1.7,0,17,0,1.5,3,4,0,0,1,3,0,0,11,0,50.75,0,0,7.05
0,1.7,0,17,0,1.5,0,12.5,0,0,3,3,0,0,11,0,45.25,0,0,5.05
0,1.7,0,17,0,1.5,0,12.5,0,0,3,3,0,0,11,0,45.25,0,0,5.05
0,1.7,0,17,0,1.5,0,4,0,0,3,0,0,0,11,0,50.25,0,0,11.55
0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.09,0,79.9,0,0,0.00999999999999091
0,1.7,0,17,0,1.5,0,4,0,0,3,0,0,0,11,0,50.25,0,0,11.55
0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.97,0,75.02,0,0,0.0100000000000051
0,1.7,0,12.33,0,4.5,3,4,0,0,1,0,0,0,15.42,0,53,0,0,5.05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.09,0,69.9,0,0,0.00999999999999091
0,6.3,0,12.73,0,1.5,0,12.5,0,0,3,0,0,0,15.92,0,41,0,0,7.05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,64.99,0,0,0.0100000000000051
0,6.3,0,17,0,1.5,0,4.05,0,0,1,0,0,0,16.5,0,44.1,0,0,9.55
0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,0,60.56,0,0,0.00999999999999091
0,6.3,0,17,0,1.5,0,4.05,0,0,1,0,0,0,16.5,0,44.1,0,0,9.55
0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.56,0,54.43,0,0,0.00999999999999091
0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.97,0,51.02,0,0,0.00999999999999091
