"vis","X__3","X__4","X__8","X__10","X__17","X__18","X__29","X__30","X__43","X__46","X__48","X__49","X__53","X__57","X__59","X__64","X__67","X__71","X__74","X__84","X__86","X__106","X__109","X__113","X__115","X__117","X__133","X__138","autres"
2430,0,9.42,8.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.67,0,0,0,68.39,0,0,0,0,0,0
4433,0,9.42,8.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.73,0,0,0,70.32,0,0,0,0,0,0
25,0,3.58,14.25,0,0,1.88,0,0,0,0.8,0,0,0.08,0,1.78,2.29,0,0,12.78,0,0,0,45.42,0,0,0,0,1.34,15.8
21,0,3.81,14.08,0,0,3.3,0.09,0,0,0,0,0,0,0,1.66,0,0,0,13.31,0,0,0,45.55,0,0.08,0,0,1.24,16.88
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.48,0,0,0,66.51,0,0,0,0,0,0.00999999999999091
79,0,3,18,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,56,0,0,0,0,2,6
5864,0,9.43,8.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.54,0,0,0,71.5,0,0,0,0,0,0
946,0,0,0,0,0,10.6,0,0,0,0,0,0,0,0,0,0,0,0,14.4,0,0,0,74.85,0,0,0,0,0,0.150000000000006
262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.63,0,0,0,70.37,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.54,0,0,0,64.46,0,0,0,0,0,0
914,0,0.22,0,0,0,0.15,0,0,0,0,0,0,12.08,0,0,0,0,0,0.09,0,0,0,55.91,0,0,0,0,0,31.55
538,0,0,0,0,0,2.7,0,0,0,0,0,0,1.95,0,0,0,0,0,9.45,0,0,0,59.75,0,0,0,0,0,26.15
950,0,3.72,0,0,0,8.69,0,0,0,0,0,0,0.5,0,0,1.35,1.5,0,15.28,0,0,0,68.52,0,0,0,0,0,0.439999999999998
6040,0,22.43,3,0,0,5.9,0,0,0,0,0,0,0.2,0,0,8.41,0.00501,0,1.1,0,0,0,58.77,0,0,0,0,0,0.184989999999999
42,0,0,21.7,0,0,6.59,0,0,0,0,0,0,0,0,0,0,0,0,11.81,0,0,0,54.2,0,0,0,0,0,5.7
128,0,0,11.52,0,0,9.79,0,0,0,0,0,0,0,0,0,0,0,0,10.82,0,0,0,61.41,0,0,0,0,0,6.46000000000001
42,0,0,18.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.91,0,0,0,59.37,0,0,0,0,0,3.41
27,0,4.05,14.56,0,0,2.58,0.03,0,0,0.85,0,0,0.1,0,1.82,2.48,0,0,13.52,0,0,0,46.42,0,0,0,0,1.36,12.23
27,0,1.7,12,0,0,4.5,0,0,0,2,0,0,0,0,3,0,0,0,11,0,0,0,52,0,0.2,0,0,1.4,12.2
27,0,1.7,12,0,0,4.5,0,0,0,2,0,0,0,0,3,0,0,0,11,0,0,0,52,0,0.2,0,0,1.4,12.2
45,0,6.3,12,0,0,4.5,0,0,0,2,0,0,0,0,1,2.33,0,0,11,0,0,0,43.32,0,0.2,0,0,1.4,15.95
45,0,6.3,12,0,0,4.5,0,0,0,2,0,0,0,0,1,2.33,0,0,11,0,0,0,43.32,0,0.2,0,0,1.4,15.95
14,0,6.3,17,0,0,4.5,0,0,0,0,0,0,0,0,3,2.58,0,0,11,0,0,0,43.57,0,0.2,0,0,1.4,10.45
16,0,1.7,13.69,0,0,1.5,0,0,0,2,0,0,0,0,1,0,0,0,16.5,0,0,0,43.06,0,0.2,0,0,1.4,18.95
33,0,6.3,15.98,0,0,4.5,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,52.17,0,0.2,0,0,1.4,7.45
22,0,1.7,12.2,0,0,1.5,0,0,0,0,0,0,0,0,1,3,0,0,11,0,0,0,44.55,0,0.2,0,0,1.4,23.45
28,0,6.3,12,0,0,1.5,0,0,0,0,0,0,0,0,3,0,0,0,14.91,0,0,0,50.24,0,0.2,0,0,1.4,10.45
36,0,6.3,12.13,0,0,1.5,0,0,0,0,0,0,0,0,1,3,0,0,15.17,0,0,0,47.35,0,0.2,0,0,1.4,11.95
14,0,6.08,12,0,0,1.5,0,0,0,2,0,0,0,0,3,3,0,0,11.88,0,0,0,43.99,0,0.2,0,0,1.4,14.95
14,0,6.08,12,0,0,1.5,0,0,0,2,0,0,0,0,3,3,0,0,11.88,0,0,0,43.99,0,0.2,0,0,1.4,14.95
93,0,0,11.48,0,0,7.44,0,0,0,0,0,0,0,0,0,0,0,0,13.35,0,0,0,61.28,0,0,0,0,0,6.45
14,0,9.07,12.22,0.46,0,3.96,0.3,0,0,0,0,0,0,0,4,0,0,0,15.45,0,1,0,40,0,0.24,0,0,0,13.3
95,0,3.5,16.5,0.46,0,2,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,58.5,0,0.24,0,0,5,2.8
25,0,7.55,16.5,0.46,0,2,0.3,0,0,0,0,0,0,0,1,0,0,0,16.97,0,0,0,40,0,0.24,0,0,5,9.98
145,0,3.5,8,0.46,0,5,0.3,0,0,0,0,0,0,0,4,0,0,0,7.2,0,1,0,58.5,0,0.24,0,0,5,6.8
34,0,2,8,0.46,0,5,0.3,0,0,0,0,0,0,0,4,0,0,0,14.4,0,0,0,58.5,0,0.24,0,0,0,7.09999999999999
41,0,15,16.5,0.46,0,2,0.3,0,0,0,0,0,0,0,4,0,0,0,12,0,0.17,0,44.06,0,0.24,0,0,0,5.27
87,0,2,8,0.46,0,2,0.01,0,0,0,0,0,0,0,1,0,0,0,20,0,0.27,0,58.5,0,0.24,0,0,5,2.52
15,0,2,8,0.46,0,2,0.3,0,0,0,0,0,0,0,4,0,0,0,20,0,0,0,48.9,0,0.24,0,0,5,9.09999999999999
12,0,2,16.5,0.46,0,4.65,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,48.55,0,0.24,0,0,0,6.60000000000001
14,0,2,16.5,0.46,0,2,0.3,0,0,0,0,0,0,0,4,0,0,0,12.14,0,0,0,45.15,0,0.24,0,0,5,12.21
47,0,2,16.5,0.46,0,4,0,0,0,0,0,0,0,0,1,0,0,0,14.9,0,0,0,58.5,0,0.24,0,0,0,2.40000000000001
327,0,11.75,16.5,0.46,0,2,0,0,0,0,0,0,0,0,1,0,0,0,9.4,0,0,0,50.25,0,0.24,0,0,0,8.40000000000001
63,0,8.61,11.23,0.46,0,2,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0.67,0,53.39,0,0.24,0,0,0,2.40000000000001
85,0,6.3,15.98,0,0,4.5,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,52.17,0,0.2,0,0,1.4,7.45
17,0,6.3,17,0,0,4.5,0,0,0,2,0,0,0,0,1,0,0,0,11.65,0,0,0,41,0,0.2,0,0,1.4,14.95
41,0,1.7,17,0,0,1.5,0,0,0,2,0,0,0,0,1,3,0,0,11,0,0,0,50.75,0,0.2,0,0,1.4,10.45
15,0,1.7,17,0,0,1.5,0,0,0,0,0,0,0,0,3,3,0,0,11,0,0,0,45.25,0,0.2,0,0,1.4,15.95
14,0,1.7,17,0,0,1.5,0,0,0,0,0,0,0,0,3,3,0,0,11,0,0,0,45.25,0,0.2,0,0,1.4,15.95
19,0,1.7,17,0,0,1.5,0,0,0,2,0,0,0,0,3,0,0,0,11,0,0,0,50.25,0,0.2,0,0,1.4,11.95
1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.09,0,0,0,79.9,0,0,0,0,0,0.00999999999999091
